Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Other Charges,Other Charges,Total of Other Charges,516139.00,516139.00
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,958245.00,958245.00
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,973257.00,973257.00
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,995056.00,1016982.00
2013,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,22168414.00,22168414.00
2014,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,22481594.00,22481594.00
2015,General Government,Community Development Agency,CDA-Housing & Comm Devel Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,23003828.00,22981902.00
2013,General Government,Community Development Agency,CDA-Lead Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1428.00,1428.00
2015,General Government,Community Development Agency,CDA-Lead Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1479.00,1854.00
2014,General Government,Community Development Agency,CDA-Lead Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1949.00,1949.00
2015,General Government,Community Development Agency,CDA-Lead Grants,Other Charges,Other Charges,Total of Other Charges,100000.00,100000.00
2014,General Government,Community Development Agency,CDA-Lead Grants,Other Charges,Other Charges,Total of Other Charges,250000.00,250000.00
2013,General Government,Community Development Agency,CDA-Lead Grants,Other Charges,Other Charges,Total of Other Charges,271700.00,271700.00
2014,General Government,Community Development Agency,CDA-Lead Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,522661.00,522661.00
2015,General Government,Community Development Agency,CDA-Lead Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,541474.00,541474.00
2013,General Government,Community Development Agency,CDA-Lead Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,553759.00,429815.00
2013,General Government,Community Development Agency,CDA-Lead Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1380540.00,1264484.00
2014,General Government,Community Development Agency,CDA-Lead Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1479064.00,1479064.00
2015,General Government,Community Development Agency,CDA-Lead Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1783677.00,1783677.00
2014,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2654367.00,-2654367.00
2015,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2605733.00,-2605733.00
2013,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1222612.00,-1222612.00
2015,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1237329.00,-1237329.00
2014,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1117151.00,-1117151.00
2014,General Government,Community Development Agency,Community Development Agency,Fixed Assets,Fixed Assets,Total of Fixed Assets,6988.00,6988.00
2015,General Government,Community Development Agency,Community Development Agency,Fixed Assets,Fixed Assets,Total of Fixed Assets,6988.00,6988.00
2013,General Government,Community Development Agency,Community Development Agency,Fixed Assets,Fixed Assets,Total of Fixed Assets,6988.00,6988.00
2015,General Government,Community Development Agency,Community Development Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1467666.00,1506568.00
2014,General Government,Community Development Agency,Community Development Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1483967.00,1483967.00
2013,General Government,Community Development Agency,Community Development Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1508904.00,1508904.00
2014,General Government,Community Development Agency,Community Development Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5397563.00,5390015.00
2013,General Government,Community Development Agency,Community Development Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5411839.00,5573888.00
2015,General Government,Community Development Agency,Community Development Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5485243.00,5565697.00
2013,General Government,Community Development Agency,Community Development Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,11969967.00,11807918.00
2014,General Government,Community Development Agency,Community Development Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,12321096.00,12200528.00
2015,General Government,Community Development Agency,Community Development Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,12786979.00,12710185.00
2015,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1242422.00,-1242422.00
2014,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-933671.00,-933671.00
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-242502.00,-242502.00
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-217269.00,-217269.00
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-210242.00,-210242.00
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,70681.00,71182.00
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,75946.00,75946.00
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,79038.00,79038.00
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,417873.00,417873.00
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,441906.00,441906.00
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,472093.00,472093.00
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Other Charges,Other Charges,Total of Other Charges,566293.00,566293.00
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,677296.00,806139.00
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Other Charges,Other Charges,Total of Other Charges,701311.00,701311.00
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,705230.00,705230.00
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Other Charges,Other Charges,Total of Other Charges,904429.00,904429.00
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1007402.00,1007402.00
2015,General Government,Community Development Agency,RDA Successor Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,107950.00,108715.00
2013,General Government,Community Development Agency,RDA Successor Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,108856.00,108856.00
2014,General Government,Community Development Agency,RDA Successor Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,115656.00,115656.00
2013,General Government,Community Development Agency,RDA Successor Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1020536.00,1020536.00
2014,General Government,Community Development Agency,RDA Successor Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1028979.00,1028979.00
2015,General Government,Community Development Agency,RDA Successor Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1074314.00,1074314.00
2014,General Government,Community Development Agency,RDA Successor Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1369400.00,1369400.00
2015,General Government,Community Development Agency,RDA Successor Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1407171.00,1407171.00
2013,General Government,Community Development Agency,RDA Successor Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2077930.00,2077930.00
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-60000.00,-60000.00
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-60000.00,-60000.00
2013,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-60000.00,-60000.00
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,114619.00,114619.00
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,185436.00,185436.00
2013,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,185436.00,185436.00
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,294729.00,294729.00
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,303700.00,304665.00
